id,admin_equipment,lot,type_1,type_2,type_3,generic_name,quantity,brand,model,serial_number,commissioning_year,served_zones,status,photoPlaque,type_name
-NN6UBUSQOmJUKBm14-a.-NQ-YBuuhTyBSMkvvu-y.-NQ-Z19bNqiLVb4EE5VV,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,5,SALMSON,DCX 50-90,,,,,Equipements/-NN6UBUSQOmJUKBm14-a/-NQ-YBuuhTyBSMkvvu-y/-NQ-Z19bNqiLVb4EE5VV/photoPlaque/20230406_125958470_Drq3GjXeG3T5odJLCzUI7UnzY5H2_Photo.jpg,Pompe
-Mn1BXY-5z59aB2ht9l2.-Mn5nUNAr9z5WxG5Zkr9.-Mna3xz75iyzi6w1OE6N,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,1,GRUNFOS,ALPHA 25-60,,,,En service,Equipements/-Mn1BXY-5z59aB2ht9l2/-Mn5nUNAr9z5WxG5Zkr9/-Mna3xz75iyzi6w1OE6N/photoPlaque/20211125_140253803_bob3u8sQkRMXYiwkkFaPML0cC3q1_Photo.jpg,Pompe
-MtbgXCnojhZqL2GQmw7.-N1iXYxrte_NFzZYdtif.-N1i_VnSTyV905L3WJaB,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,1,OIMSON,MA170-2,4016837,,RESTAURANT,A l'arrêt,Equipements/-MtbgXCnojhZqL2GQmw7/-N1iXYxrte_NFzZYdtif/-N1i_VnSTyV905L3WJaB/photoPlaque/20220801_134447507_OGRLUE4q0UMFrfBQf3XamXK2R3K2_Photo.jpg,Pompe
-O253MT3BqQyT1hGA3Yi.-O2ihHRpQ6aNhRi65xUD.-O2iwmsu4fI_huKfgAuB,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,1,GRUNDFOS,MGE9OLE 4-FF165-1A,6204.2Z.C3,2019,,En service,Equipements/-O253MT3BqQyT1hGA3Yi/-O2ihHRpQ6aNhRi65xUD/-O2iwmsu4fI_huKfgAuB/photoPlaque/20240923_135646232_upQZxUqv3PROnqbEf9CUdCBcQtk2_Photo.jpg,Pompe
-MfHcY7t2cqhab642eap.-MgAqd7mdCKKLlnNNw0B.-Mj8dw0ZRSPtEmbmT6VS,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,,WILO,2175539/20W03,22084702,2021,,,Equipements/-MfHcY7t2cqhab642eap/-MgAqd7mdCKKLlnNNw0B/-Mj8dw0ZRSPtEmbmT6VS/photoPlaque/20210909_082406234_zLkER2QX15d1X4MWOaYpoHgbKwQ2_Photo.jpg,Pompe
-NzTDWdLm3GO5TxkLGsX.-O0sslPsB0pAA6d0LcqB.-O2uhe37dUL14eRnMY8U,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,1,GRUNDFOS,UPSD 40-30 F,,2010,,,Equipements/-NzTDWdLm3GO5TxkLGsX/-O0sslPsB0pAA6d0LcqB/-O2uhe37dUL14eRnMY8U/photoPlaque/20240827_162233425_dNDzybLEkBMU7iRIL6I1F8eQLTd2_Photo.jpg,Pompe
-MkryATGcO13o-zI8veJ.-N3xLdDx5y6f3lNDRxq8.-N4aivyxiltwQ8BBZf3Z,-L6W1EU4abFgG2W7uKs1,-L6W1EKYi_ItNbhdlkXB,-L6SNFdmDhz33UT6SH0J,-L6W1EU4abFgG2W7uKs1,,Pompe,1,salmson ,JRE,204 13/3 3G,,EST,En service,Equipements/-MkryATGcO13o-zI8veJ/-N3xLdDx5y6f3lNDRxq8/-N4aivyxiltwQ8BBZf3Z/photoPlaque/20220615_114145974_fRwX42ZCVyfQqzMjAibCTLzy9Mi2_Photo.jpg,Pompe
-MYjr90sVTsupkqU4Ric.-MZ-mixctXYARM9xz_T_.-Mb5lbbpwF8bTKvv3PG7,-LmivFcyBb3JPZCOHsB0,-L6W1C0X9zmAZC-JClDm,-Lmie7YCBmAFzXqUon5r,-LmivFcyBb3JPZCOHsB0,,Radiateur électrique,2,,M170.7.FTFS.02,1307890,,,,Equipements/-MYjr90sVTsupkqU4Ric/-MZ-mixctXYARM9xz_T_/-Mb5lbbpwF8bTKvv3PG7/photoPlaque/20210601_085424008_sv3BMV578JdaUbST0ghIIC8Dkds2_Photo.jpg,Emetteur
-M-Kk9lqArlOhxklNDNh.-M-Uy9U_juTv_IWBO0E1.-M-VXkaI5taNXoXeQG3o,-Lmiq9m9TzJAzFQwln__,-L6W1C0X9zmAZC-JClDm,-Lmie7YCBmAFzXqUon5r,-Lmiq9m9TzJAzFQwln__,,Ventilo-convecteur,1,RHOSS,,,01/01/2002,,En service,Equipements/-M-Kk9lqArlOhxklNDNh/-M-Uy9U_juTv_IWBO0E1/-M-VXkaI5taNXoXeQG3o/photoPlaque/20200616_112652157_vNGhI5t1cEfzrBJwZtspMvxLq2l1_Photo.jpg,Emetteur
-NP1qe_HdevbuZ4BwjwL.-NP3OIKFtuAXXHX_uqx-.-NQzPCKqpOAQ8SLhLp39,-LmjHA0W-Cd_G8rKwhW4,-L6W1C0X9zmAZC-JClDm,-Lmie7YCBmAFzXqUon5r,-LmjHA0W-Cd_G8rKwhW4,,Split-system - unité intérieure,1,FUJITSU,SH9RSJCW,E028847,,,En service,Equipements/-NP1qe_HdevbuZ4BwjwL/-NP3OIKFtuAXXHX_uqx-/-NQzPCKqpOAQ8SLhLp39/photoPlaque/20230320_152533513_djbIPsk1NBXkc6g3mBEkBLlYdh83_Photo.jpg,Emetteur
-O45qSXG3w8gKJamqSSe.-O87R9UQNRXDP-GQ6M8I.-OB-wcpaUEIApenGFd2B,-LmjHA0W-Cd_G8rKwhW4,-L6W1C0X9zmAZC-JClDm,-Lmie7YCBmAFzXqUon5r,-LmjHA0W-Cd_G8rKwhW4,,Split-system - unité intérieure,8,MITSUBISHI,PKEY-P15VBM-E,2018 02,,,,Equipements/-O45qSXG3w8gKJamqSSe/-O87R9UQNRXDP-GQ6M8I/-OB-wcpaUEIApenGFd2B/photoPlaque/20241106_110855375_xAF88opWJbUAacgFDfEHSbHyIy53_Photo.jpg,Emetteur
-O7hEPufXFCICVOXCATY.-O8fZ9hulIdwe1UQqBYf.-O8kTTucpRQWROL10ziC,-Lmiq9m9TzJAzFQwln__,-L6W1C0X9zmAZC-JClDm,-Lmie7YCBmAFzXqUon5r,-Lmiq9m9TzJAzFQwln__,,Ventilo-convecteur,1,CARRIER,42N IDROFAN S30,,,,En service,Equipements/-O7hEPufXFCICVOXCATY/-O8fZ9hulIdwe1UQqBYf/-O8kTTucpRQWROL10ziC/photoPlaque/20241115_103017859_PW8EsZVLBsbcuLZK2B69Aury9yN2_Photo.jpg,Emetteur
-O7hEPufXFCICVOXCATY.-O8fZ9hulIdwe1UQqBYf.-O8kTTvIMhNyDS3fHZLg,-Lmiq9m9TzJAzFQwln__,-L6W1C0X9zmAZC-JClDm,-Lmie7YCBmAFzXqUon5r,-Lmiq9m9TzJAzFQwln__,,Ventilo-convecteur,9,CIAT,304XCV TDA-VC41,,,,En service,Equipements/-O7hEPufXFCICVOXCATY/-O8fZ9hulIdwe1UQqBYf/-O8kTTvIMhNyDS3fHZLg/photoPlaque/20241115_102220690_h9wCruH794eCOJQVKgvmr34Ro2D2_Photo.jpg,Emetteur
-NG1taFfDNV36gzkBeAu.-NLfdmf2fLpdal1u57nw.-NGRrC0Scr_MXK1xi2Pi,-LmiqcD61XwSvI3HuNfv,-L6W1C0X9zmAZC-JClDm,-Lmie7YCBmAFzXqUon5r,-Lmiq9m9TzJAzFQwln__,-LmiqcD61XwSvI3HuNfv,Cassette plafonnière,,DAIKIN,FXAQ50PV1,E 003775,2000,,En service,Equipements/-NG1taFfDNV36gzkBeAu/-NLfdmf2fLpdal1u57nw/-NGRrC0Scr_MXK1xi2Pi/photoPlaque/20230111_083426508_mWQ2QV7Ayhav5VVakHUT26z8Nwq1_Photo.jpg,Emetteur
-NndlBmNSwVpt26u1xUi.-Nndmo4iVgFAm19tEWe8.-Nndrc67EWD5PQDVHg8I,-L6SNFRvFPdkP5it-h-I,-L6W1CskVQMe43Y3oFbu,-L6SNFRvFPdkP5it-h-I,,,Armoire électrique,1,SCHNEIDER,TDSG,,,,En service,Equipements/-NndlBmNSwVpt26u1xUi/-Nndmo4iVgFAm19tEWe8/-Nndrc67EWD5PQDVHg8I/photoPlaque/20240408_130039414_WWewGGo4u1VJ704FtGHsLn4wxUn1_Photo.jpg,Armoire électrique
-N4zz2QwqUuRS_6v6YJI.-N5tbhRxjW-cYO9UDfX6.-N5ts-NrOwmDF3FmvOr5,-L6SNFRvFPdkP5it-h-I,-L6W1CskVQMe43Y3oFbu,-L6SNFRvFPdkP5it-h-I,,,Armoire électrique,1,Merlin Gerin,,,,,En service,Equipements/-N4zz2QwqUuRS_6v6YJI/-N5tbhRxjW-cYO9UDfX6/-N5ts-NrOwmDF3FmvOr5/photoPlaque/20220706_114255007_oBorm5oBbONycA93iMlGE1Nnesy1_Photo.jpg,Armoire électrique
-MYjr90sVTsupkqU4Ric.-MZ-mixyicyKjWmQxCxR.-MbkjRQ8B7nXSA2Q1EJi,-Lmnjt9jBRLZCt1e3woN,-L6W1CskVQMe43Y3oFbu,-L6SNFRvFPdkP5it-h-I,-Lmnjt9jBRLZCt1e3woN,,Armoire de commande,1,,,,,,En service,Equipements/-MYjr90sVTsupkqU4Ric/-MZ-mixyicyKjWmQxCxR/-MbkjRQ8B7nXSA2Q1EJi/photoPlaque/20210609_122753119_GgFglI9WCmcEk2x3JvwysqYsDFc2_Photo.jpg,Armoire électrique
-NYXEonZAkggwzhv02Ti.-Na7qGaoOkESAio5Nkii.-Nc6K574UTVHuCEgW68U,-L6SNFRvFPdkP5it-h-I,-L6W1CskVQMe43Y3oFbu,-L6SNFRvFPdkP5it-h-I,,,Armoire électrique,1,Schneider,,,,,En service,Equipements/-NYXEonZAkggwzhv02Ti/-Na7qGaoOkESAio5Nkii/-Nc6K574UTVHuCEgW68U/photoPlaque/20230818_062901326_BVwzjTeFPkOiydWVgOPoQLKENeZ2_Photo.jpg,Armoire électrique
