id,admin_equipment,lot,type_1,type_2,type_3,generic_name,quantity,brand,model,serial_number,commissioning_year,served_zones,status,photoPlaque,type_name
-NjMg6aVRsi2LILgj-R5.-NjkwAdJhdRi6rD0mTTj.-NlO7WLcfKw2P1wvSNRV,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,1,SALMSON ,SIRIUX 32-65F,2106382 / 18w04 3573,,,En service,Equipements/-NjMg6aVRsi2LILgj-R5/-NjkwAdJhdRi6rD0mTTj/-NlO7WLcfKw2P1wvSNRV/photoPlaque/20231211_144752492_r1EE0Ucuo5OOZrfWGSPOFy9n0st2_Photo.jpg,Pompe
-NYxBjSlKaBrKwVBXkug.-NYxM6kQv_jUQ0zEW5TR.-NZWVKqzht-4ep2MJ_k4,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,,SALMSON,,,,,,Equipements/-NYxBjSlKaBrKwVBXkug/-NYxM6kQv_jUQ0zEW5TR/-NZWVKqzht-4ep2MJ_k4/photoPlaque/20230720_091745026_ZeeX7efrBhU9kAoUhkHp1Ey3pVM2_Photo.jpg,Pompe
-NxlJdtDxl4Xe4XFVxNv.-O-M7X8Ou8Sq1ZWgO8CV.-O08RDZvAPJN4ciHOF0c,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,1,GRUNDFOS,MAGNA3D 32-120 F 220,10007079,,,A l'arrêt,Equipements/-NxlJdtDxl4Xe4XFVxNv/-O-M7X8Ou8Sq1ZWgO8CV/-O08RDZvAPJN4ciHOF0c/photoPlaque/20240624_105236871_V77DjXQkIFTo7S47OIEBquvS7Np1_Photo.jpg,Pompe
-MsekuLnzS2ovEmDx5cC.-MuLtERIveMXERm1CDG1.-MujtSMRKM18qbG8c2L3,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,1,salmson,siriux 32-70,,2014 ,,En service,Equipements/-MsekuLnzS2ovEmDx5cC/-MuLtERIveMXERm1CDG1/-MujtSMRKM18qbG8c2L3/photoPlaque/20220202_154838105_c1nJxReiKDZOpMmotm5vFt1n2753_Photo.jpg,Pompe
-NZPmWIDpTepAiKOSn-a.-Na5rj_LdkfZOpngNUjn.-Na8RnwSziYsjlo86dkB,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,1,WILO, STAR Z25/6,,,,En service,Equipements/-NZPmWIDpTepAiKOSn-a/-Na5rj_LdkfZOpngNUjn/-Na8RnwSziYsjlo86dkB/photoPlaque/20231031_095533791_CJmJB9AGZGclDCMnV1b0SUUBr022_Photo.jpg,Pompe
-Mq_8q9PqUD2TR_7dEWJ.-MqtMqDCw2cfaa7KyGb2.-N-2o2qrNz50rcI0fZtj,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,1,GRUNDFOS ,MAGNA1D 40-120 F 250,10008300,2007,,En service,Equipements/-Mq_8q9PqUD2TR_7dEWJ/-MqtMqDCw2cfaa7KyGb2/-N-2o2qrNz50rcI0fZtj/photoPlaque/20220407_133731888_yxo6fhSTtkcYnx3tRnmMqPKKDL82_Photo.jpg,Pompe
-NkzoNdjO4lQ641kQK2e.-NkzuNZkXzFaF0eEXAzY.-Nm6R8goLmi1X5dXNNrS,-L6SNUEU8xUUlacXQtNx,-L6W1EKYi_ItNbhdlkXB,-L6SNFdmDhz33UT6SH0J,-L6SNUEU8xUUlacXQtNx,,Pompe de relevage,1,SFA,,,2017,,,Equipements/-NkzoNdjO4lQ641kQK2e/-NkzuNZkXzFaF0eEXAzY/-Nm6R8goLmi1X5dXNNrS/photoPlaque/20231220_133716173_c5NE62hCsgb4wLYGYAw4uwp5gBI2_Photo.jpg,Pompe
-MyIDBviWs_Td7O_HihP.-MyMHnMey0fVO2S1rW5q.-MzyprQDAQYcDdeOaC3y,-L6SNUEU8xUUlacXQtNx,-L6W1EKYi_ItNbhdlkXB,-L6SNFdmDhz33UT6SH0J,-L6SNUEU8xUUlacXQtNx,,Pompe de relevage,,,,,,,,Equipements/-MyIDBviWs_Td7O_HihP/-MyMHnMey0fVO2S1rW5q/-MzyprQDAQYcDdeOaC3y/photoPlaque/20220419_112746639_56U51CvhFgaObTLmZBOJtniVZkX2_Photo.jpg,Pompe
-O3bxWuqs1bTI6CkHM-Y.-O4jQ6wqPupNS9xqpf_t.-O4jRdNvGWAEQ8PR3I_N,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,1,GRUNDFOS ,MAGNA1D,10901068,,,En service,Equipements/-O3bxWuqs1bTI6CkHM-Y/-O4jQ6wqPupNS9xqpf_t/-O4jRdNvGWAEQ8PR3I_N/photoPlaque/20240902_083950471_gZwKPwgp9Wcn6SMtbuQkjHZaecr2_Photo.jpg,Pompe
-O2TYvwQjNQjQEC0fzwp.-O2TtxcgS-ohpCa72Tc0.-O2TuNj9EnOQ-I-GlYbL,-MB48ZFGuTp1xQsDziBG,-L6W1C0X9zmAZC-JClDm,-MB48ZFGuTp1xQsDziBG,,,Pompe,1,LOWARA,LNTEH65-250/40/P45VCS4/4,00050 - 20220126,2022,,A l'arrêt,Equipements/-O2TYvwQjNQjQEC0fzwp/-O2TtxcgS-ohpCa72Tc0/-O2TuNj9EnOQ-I-GlYbL/photoPlaque/20241031_152509352_DtJlR6Yil5TGGBh84zzzltnxMht1_Photo.jpg,Pompe
